state_abbr,state_name,region,observed,expected_region_year_model,avg_population,residual_obs_minus_expected,standardized_residual,observed_rate_per_1m,expected_rate_per_1m
AL,Alabama,Northeast,0,0.0,,0.0,,,
AL,Alaska,West,0,0.0,,0.0,,,
AL,Alaska,South,0,0.0,,0.0,,,
AL,Alaska,Midwest,0,0.0,,0.0,,,
AL,Alaska,Northeast,0,0.0,,0.0,,,
AL,Arizona,West,0,0.0,,0.0,,,
AL,Arizona,South,0,0.0,,0.0,,,
AL,Arizona,Midwest,0,0.0,,0.0,,,
AL,Arizona,Northeast,0,0.0,,0.0,,,
AL,Arkansas,West,0,0.0,,0.0,,,
AL,Arkansas,South,0,0.0,,0.0,,,
AL,Arkansas,Midwest,0,0.0,,0.0,,,
AL,Arkansas,Northeast,0,0.0,,0.0,,,
AL,California,West,0,0.0,,0.0,,,
AL,California,South,0,0.0,,0.0,,,
AL,California,Midwest,0,0.0,,0.0,,,
AL,California,Northeast,0,0.0,,0.0,,,
AL,Colorado,West,0,0.0,,0.0,,,
AL,Colorado,South,0,0.0,,0.0,,,
AL,Colorado,Midwest,0,0.0,,0.0,,,
AL,Colorado,Northeast,0,0.0,,0.0,,,
AL,Connecticut,West,0,0.0,,0.0,,,
AL,Connecticut,South,0,0.0,,0.0,,,
AL,Connecticut,Midwest,0,0.0,,0.0,,,
AL,Connecticut,Northeast,0,0.0,,0.0,,,
AL,Delaware,West,0,0.0,,0.0,,,
AL,Delaware,South,0,0.0,,0.0,,,
AL,Delaware,Midwest,0,0.0,,0.0,,,
AL,Delaware,Northeast,0,0.0,,0.0,,,
AL,District of Columbia,West,0,0.0,,0.0,,,
AL,District of Columbia,South,0,0.0,,0.0,,,
AL,District of Columbia,Midwest,0,0.0,,0.0,,,
AL,District of Columbia,Northeast,0,0.0,,0.0,,,
AL,Florida,West,0,0.0,,0.0,,,
AL,Florida,South,0,0.0,,0.0,,,
AL,Florida,Midwest,0,0.0,,0.0,,,
AL,Florida,Northeast,0,0.0,,0.0,,,
AL,Georgia,West,0,0.0,,0.0,,,
AL,Georgia,South,0,0.0,,0.0,,,
AL,Georgia,Midwest,0,0.0,,0.0,,,
AL,Georgia,Northeast,0,0.0,,0.0,,,
AL,Hawaii,West,0,0.0,,0.0,,,
AL,Hawaii,South,0,0.0,,0.0,,,
AL,Hawaii,Midwest,0,0.0,,0.0,,,
AL,Hawaii,Northeast,0,0.0,,0.0,,,
AL,Idaho,West,0,0.0,,0.0,,,
AL,Idaho,South,0,0.0,,0.0,,,
AL,Idaho,Midwest,0,0.0,,0.0,,,
AL,Idaho,Northeast,0,0.0,,0.0,,,
AL,Illinois,West,0,0.0,,0.0,,,
AL,Illinois,South,0,0.0,,0.0,,,
AL,Illinois,Midwest,0,0.0,,0.0,,,
AL,Illinois,Northeast,0,0.0,,0.0,,,
AL,Indiana,West,0,0.0,,0.0,,,
AL,Indiana,South,0,0.0,,0.0,,,
AL,Indiana,Midwest,0,0.0,,0.0,,,
AL,Indiana,Northeast,0,0.0,,0.0,,,
AL,Iowa,West,0,0.0,,0.0,,,
AL,Iowa,South,0,0.0,,0.0,,,
AL,Iowa,Midwest,0,0.0,,0.0,,,
AL,Iowa,Northeast,0,0.0,,0.0,,,
AL,Kansas,West,0,0.0,,0.0,,,
AL,Kansas,South,0,0.0,,0.0,,,
AL,Kansas,Midwest,0,0.0,,0.0,,,
AL,Kansas,Northeast,0,0.0,,0.0,,,
AL,Kentucky,West,0,0.0,,0.0,,,
AL,Kentucky,South,0,0.0,,0.0,,,
AL,Kentucky,Midwest,0,0.0,,0.0,,,
AL,Kentucky,Northeast,0,0.0,,0.0,,,
