state_abbr,state_name,region,is_nm,observed,predicted_enriched,residual_observed_minus_predicted,mean_pearson_resid,annualized_rate_per_1m,avg_density,gun_share,total
ND,North Dakota,Midwest,0,27,32.412587970470206,-5.412587970470206,-0.2910319824273303,3.48154,11.161899102911551,0.5185185185185185,27
RI,Rhode Island,Northeast,0,8,13.521605277060166,-5.521605277060166,-0.5066966974997166,0.74228,1043.5103481624758,0.5,8
NJ,New Jersey,Northeast,0,108,116.21165690452214,-8.211656904522144,-0.22540604913730147,1.19137,1239.1837367419091,0.4166666666666667,108
DE,Delaware,South,0,22,30.69295621089958,-8.69295621089958,-0.5374845612954728,2.2368300000000003,507.3891739353515,0.5909090909090909,22
MS,Mississippi,South,0,139,150.9040053596557,-11.904005359655718,-0.312709877245004,4.690939999999999,63.21410608869851,0.6402877697841727,139
CT,Connecticut,Northeast,0,32,45.42157109575516,-13.421571095755162,-0.6322855394056357,0.88888,743.4386617100372,0.46875,32
AR,Arkansas,South,0,143,157.32558099530547,-14.325580995305467,-0.34830186262855534,4.72174,58.137290285384836,0.6013986013986014,143
AL,Alabama,South,0,200,215.90617502251064,-15.906175022510634,-0.32312805652237203,4.00746,98.37499654457498,0.695,200
IA,Iowa,Midwest,0,63,80.25815533243417,-17.25815533243417,-0.5947339229808395,1.9831299999999998,56.81431154555382,0.6031746031746031,63
MT,Montana,West,0,69,88.2001534942089,-19.200153494208905,-0.5580957406667773,6.32845,7.445435120168194,0.5652173913043478,69
MN,Minnesota,Midwest,0,107,129.18540767961005,-22.185407679610037,-0.5842444144867177,1.8971799999999999,70.98028558152386,0.5514018691588785,107
MA,Massachusetts,Northeast,0,61,84.8667915506241,-23.8667915506241,-0.8098062431375442,0.88118,890.6706153846155,0.4098360655737705,61
MI,Michigan,Midwest,0,187,215.91146448600193,-28.91146448600193,-0.5851253408918354,1.8655599999999999,177.12902067599356,0.6470588235294118,187
NY,New York,Northeast,0,199,229.02073582769845,-30.020735827698434,-0.5648302848677972,1.00784,418.70766031490047,0.507537688442211,199
MD,Maryland,South,0,129,159.9478332341525,-30.947833234152505,-0.7231138762166209,2.11546,629.2588338312559,0.5658914728682171,129
ID,Idaho,West,0,90,121.88656033347793,-31.886560333477924,-0.8408774666402454,4.8916699999999995,22.09171738683252,0.5888888888888889,90
NC,North Carolina,South,0,310,345.90933394541537,-35.90933394541537,-0.5323066770813847,2.94198,215.9071989798017,0.6870967741935484,310
OR,Oregon,West,0,166,203.9093577222224,-37.909357722222396,-0.7373431838288027,3.95615,43.66059403258741,0.5542168674698795,166
WA,Washington,West,0,277,316.2787325515828,-39.27873255158276,-0.6522044857291013,3.63727,114.42927801853857,0.5234657039711191,277
UT,Utah,West,0,133,173.646118964479,-40.64611896447899,-0.9031047430849537,4.06339,39.496491420226356,0.5413533834586466,133
WY,Wyoming,West,0,36,83.88796228262962,-47.88796228262961,-1.2586035221635696,6.17868,5.989700596335473,0.6388888888888888,36
VA,Virginia,South,0,199,258.876512537258,-59.87651253725798,-1.0648937066620556,2.3136,217.2760952139782,0.6080402010050251,199
IL,Illinois,Midwest,0,212,272.6325768581479,-60.63257685814793,-1.0345211787088693,1.66586,229.28702065959402,0.6556603773584906,212
