state_abbr,state_name,region,is_nm,fatal_shootings,avg_population,annualized_rate_per_1m,avg_density,avg_log_density,unarmed_count,gun_count,mental_count,bodycam_count,race_missing_count,unique_agencies_with_shootings_total,unique_agencies_per_1m_mean,sheriff_share_mean,local_police_share_mean,top_city_share,top_city,top_county_share,top_county,city_hhi,county_hhi,gun_share,unarmed_share,mental_illness_share,bodycam_share,race_missing_share
GA,Georgia,South,0,393,10674272.3,3.6682499999999996,185.59755707405282,5.223142555976042,24,248,63,33,51,332.0,3.0976970855989783,0.47031762561508117,0.5034381654464266,0.10051546391752578,Atlanta,0.12105263157894737,Fulton,0.01750983101286003,0.03645429362880886,0.6310432569974554,0.061068702290076333,0.16030534351145037,0.08396946564885496,0.1297709923664122
HI,Hawaii,West,0,47,1431622.2,3.28938,222.88995796356843,5.406648848092211,4,20,8,11,8,21.0,1.4680340671748628,0.034090909090909095,0.915909090909091,0.3829787234042553,Honolulu,0.5454545454545454,Honolulu,0.17609778180172028,0.4173553719008264,0.425531914893617,0.0851063829787234,0.1702127659574468,0.23404255319148937,0.1702127659574468
IA,Iowa,Midwest,0,63,3173477.0,1.9831299999999998,56.81431154555382,4.039722612388379,2,38,12,14,5,65.0,2.0469282807445977,0.19150793650793652,0.8084920634920636,0.12698412698412698,Des Moines,0.28125,Polk,0.049634668682287726,0.12109375,0.6031746031746031,0.031746031746031744,0.19047619047619047,0.2222222222222222,0.07936507936507936
ID,Idaho,West,0,90,1825725.8,4.8916699999999995,22.09171738683252,3.0930674493184425,2,53,12,15,16,88.0,4.801002738259379,0.346962481962482,0.6372799422799422,0.21348314606741572,Boise,0.4117647058823529,Ada,0.07284433783613181,0.2064590542099192,0.5888888888888889,0.022222222222222223,0.13333333333333333,0.16666666666666666,0.17777777777777778
IL,Illinois,Midwest,0,212,12729786.1,1.66586,229.28702065959402,5.434956023913747,10,139,35,43,20,169.0,1.3285256936499863,0.13393494085516494,0.831105829358019,0.2714285714285714,Chicago,0.4016393442622951,Cook,0.08081632653061223,0.17643106691749538,0.6556603773584906,0.04716981132075472,0.1650943396226415,0.2028301886792453,0.09433962264150944
IN,Indiana,Midwest,0,214,6759065.1,3.15623,188.66368280020097,5.239845861745963,5,142,49,62,14,182.0,2.68672808098518,0.25363849016480594,0.7327180261259209,0.205607476635514,Indianapolis,0.3170731707317073,Marion,0.0591754738405101,0.1257849163857492,0.6635514018691588,0.02336448598130841,0.22897196261682243,0.2897196261682243,0.06542056074766354
KS,Kansas,Midwest,0,99,2928352.1,3.37932,35.81687765261317,3.578397665667599,7,63,20,16,8,96.0,3.2754672990798674,0.23722222222222222,0.7433333333333334,0.20202020202020202,Wichita,0.19642857142857142,Sedgwick,0.08295071931435569,0.09502551020408162,0.6363636363636364,0.0707070707070707,0.20202020202020202,0.16161616161616163,0.08080808080808081
KY,Kentucky,South,0,179,4491710.8,3.9849200000000002,113.75451552448969,4.73398444951993,4,104,20,29,25,127.0,2.8244491918229917,0.36584004231063055,0.6028829014123132,0.2138728323699422,Louisville,0.2127659574468085,Jefferson,0.053560092218249866,0.06518786781349027,0.5810055865921788,0.0223463687150838,0.11173184357541899,0.16201117318435754,0.13966480446927373
LA,Louisiana,South,0,200,4641709.4,4.30884,107.43702897879825,4.6768873099398,18,119,36,25,19,160.0,3.447292056898907,0.6006255605569107,0.3725490426176925,0.08,Baton Rouge,0.13513513513513514,Jefferson,0.0274,0.059816573330086845,0.595,0.09,0.18,0.125,0.095
MA,Massachusetts,Northeast,0,61,6947230.8,0.88118,890.6706153846155,6.79185471339914,2,25,19,6,2,55.0,0.7935593864064235,0.0,0.9888888888888889,0.16393442622950818,Boston,0.1875,Middlesex,0.05079279763504434,0.140625,0.4098360655737705,0.03278688524590164,0.3114754098360656,0.09836065573770492,0.03278688524590164
MD,Maryland,South,0,129,6108215.5,2.11546,629.2588338312559,6.444427965597498,10,73,34,42,2,82.0,1.3436410174679447,0.14664294425904334,0.8185267982791202,0.2558139534883721,Baltimore,0.23333333333333334,Baltimore City,0.0767381767922601,0.14999999999999997,0.5658914728682171,0.07751937984496124,0.26356589147286824,0.32558139534883723,0.015503875968992248
ME,Maine,Northeast,0,49,1362303.0,3.5765599999999997,44.16895243653341,3.7877914456165307,2,29,8,0,4,46.0,3.3592434372197504,0.3975,0.6024999999999999,0.08163265306122448,Presque Isle,0.1724137931034483,Cumberland,0.03206997084548104,0.12009512485136742,0.5918367346938775,0.04081632653061224,0.16326530612244897,0.0,0.08163265306122448
MI,Michigan,Midwest,0,187,10014697.7,1.8655599999999999,177.12902067599356,5.176863991832322,12,121,49,29,32,153.0,1.5272651464647349,0.3089503846537095,0.6487576575172483,0.1774193548387097,Detroit,0.24,Wayne,0.0404092958723552,0.08700000000000001,0.6470588235294118,0.06417112299465241,0.2620320855614973,0.15508021390374332,0.1711229946524064
MN,Minnesota,Midwest,0,107,5651947.2,1.8971799999999999,70.98028558152386,4.262245818800226,8,59,29,47,5,105.0,1.8625526802307228,0.2812087912087912,0.6905631868131868,0.14150943396226415,Minneapolis,0.22950819672131148,Hennepin,0.04449982200071199,0.12012899758129533,0.5514018691588785,0.07476635514018691,0.27102803738317754,0.4392523364485981,0.04672897196261682
MO,Missouri,Midwest,0,263,6148099.8,4.275969999999999,89.43731343283582,4.493503419588259,12,177,42,11,38,197.0,3.200460339415927,0.2290939828037029,0.733367856389594,0.16279069767441862,Kansas City,0.2198581560283688,Jackson,0.06261642930112374,0.08918062471706655,0.6730038022813688,0.045627376425855515,0.1596958174904943,0.04182509505703422,0.1444866920152091
