year,state_abbr,state_fips,state_name,population,population_source_vintage,population_source_url
2016,ME,23,Maine,1331317,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2017,ME,23,Maine,1334612,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2018,ME,23,Maine,1339057,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2019,ME,23,Maine,1344212,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,MD,24,Maryland,5985562,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,MD,24,Maryland,6003323,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2017,MD,24,Maryland,6023868,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2018,MD,24,Maryland,6035802,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2019,MD,24,Maryland,6045680,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,MA,25,Massachusetts,6794228,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,MA,25,Massachusetts,6823608,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2017,MA,25,Massachusetts,6859789,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2018,MA,25,Massachusetts,6882635,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2019,MA,25,Massachusetts,6892503,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,MI,26,Michigan,9931715,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,MI,26,Michigan,9950571,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2017,MI,26,Michigan,9973114,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2018,MI,26,Michigan,9984072,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2019,MI,26,Michigan,9986857,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,MN,27,Minnesota,5482032,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,MN,27,Minnesota,5522744,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2017,MN,27,Minnesota,5566230,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2018,MN,27,Minnesota,5606249,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2019,MN,27,Minnesota,5639632,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,MS,28,Mississippi,2988471,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,MS,28,Mississippi,2987938,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2017,MS,28,Mississippi,2988510,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2018,MS,28,Mississippi,2981020,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2019,MS,28,Mississippi,2976149,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2015,MO,29,Missouri,6071732,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
2016,MO,29,Missouri,6087135,Census PEP Vintage 2019,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/national/totals/nst-est2019-alldata.csv
