agency_id,agency_name,agency_type,agency_state_abbr,agency_state_fips,agency_state_name,ori_codes,ori_code_count,agency_total_shootings_original
705,Dorchester County Sheriff's Office,sheriff,SC,45,South Carolina,SC01800,1,1
3086,Dothan Police Department,local_police,AL,01,Alabama,AL03801,1,2
1435,Douglas County Sheriff's Department,sheriff,CO,08,Colorado,CO01800,1,8
986,Douglas County Sheriff's Department,sheriff,GA,13,Georgia,GA04800,1,6
1440,Douglas County Sheriff's Department,sheriff,NE,31,Nebraska,NB02800,1,2
2407,Douglas County Sheriff's Office,sheriff,MN,27,Minnesota,MN02100,1,1
3520,Douglas County Sheriff's Office,sheriff,MO,29,Missouri,MO03400,1,1
684,Douglas County Sheriff's Office,sheriff,NV,32,Nevada,NV00300,1,3
3062,Douglas County Sheriff's Office,sheriff,OR,41,Oregon,OR01000,1,2
2123,Douglas Police Department,local_police,AZ,04,Arizona,AZ00205,1,1
305,Douglas Police Department,local_police,GA,13,Georgia,GA03401,1,1
1571,Downey City Police Department,local_police,CA,06,California,CA01920,1,2
228,Draper Police Department,local_police,UT,49,Utah,UT01812,1,1
9501,Drug Enforcement Administration,federal,AZ,04,Arizona,AZDEA0100;AZDEA0200;AZDEA0300;AZDEA0400;AZDEA0500;AZDEA0600,6,1
2648,Drug Enforcement Administration,federal,CA,06,California,CADEA0100;CADEA0200;CADEA0300;CADEA0400;CADEA0500;CADEA0600;CADEA0700;CADEA0800;CADEA0900,9,1
9506,Drug Enforcement Administration,federal,FL,12,Florida,FLDEA0100;FLDEA0200;FLDEA0300;FLDEA0400;FLDEA0500,5,1
3060,Drug Enforcement Administration,federal,MI,26,Michigan,MIDEA0100,1,1
2927,Drug Enforcement Administration,local_police,MO,29,Missouri,MODEA0100;MODEA0200,2,1
9537,Drug Enforcement Administration,federal,TX,48,Texas,TXDEA0100;TXDEA0200;TXDEA0300;TXDEA0400;TXDEA0500;TXDEA0600;TXDEA0700;TXDEA0900;TXDEA0B00;TXDEA1000;TXDEA1100;TXDEA1200;TXDEA1300;TXDEA1400;TXDEA1500,15,1
2197,Drug Enforcement Agency,federal,IL,17,Illinois,,0,1
990,Drug Enforcement Agency,federal,VT,50,Vermont,,0,1
9551,Drug Task Force,local_other,TN,47,Tennessee,TN06305;TN06606;TN07108;TN07305;TN07805;TN08206;TN08502;TN09004;TN09404,9,1
2376,Duluth Police Department,local_police,MN,27,Minnesota,MN06906,1,2
2193,Dumas Police Department,local_police,TX,48,Texas,TX17101,1,1
3180,Duncan Police Department,local_police,OK,40,Oklahoma,OK06902,1,1
1554,Duncanville Police Department,local_police,TX,48,Texas,TX05709,1,1
3382,Dunkirk Police Department,local_police,IN,18,Indiana,IN03801,1,1
9644,Dunn County Sheriff's Office,sheriff,WI,55,Wisconsin,WI01700,1,1
2040,Dunwoody Police Department,local_police,GA,13,Georgia,GA04471,1,1
1593,DuPage County Sheriff's Office,sheriff,IL,17,Illinois,IL02200,1,1
2803,Duplin County Sheriff's Office,sheriff,NC,37,North Carolina,NC03100,1,1
2856,Durango Police Department,local_police,CO,08,Colorado,CO03401,1,1
3298,Durham County Sheriff's Office,sheriff,NC,37,North Carolina,NC03200,1,1
