model_id,term,coef,std_err,z,p_value,ci_low,ci_high,irr,irr_ci_low,irr_ci_high
M2_density_agency,Intercept,-12.781118130595596,0.027484529273102572,-465.02954457014096,0.0,-12.834986818102914,-12.727249443088278,2.813396373606317e-06,2.6658520893707306e-06,2.9691066457064928e-06
M2_density_agency,C(region)[T.Northeast],-0.4268533650467899,0.05341792497706271,-7.99082639825635,1.3403719337182367e-15,-0.5315505741306954,-0.3221561559628844,0.6525592332052691,0.5876930012592115,0.7245850332214999
M2_density_agency,C(region)[T.South],0.2739408633807899,0.035337231596070204,7.7521880183521334,9.032252025995354e-15,0.20468116213914145,0.3432005646224383,1.3151370271814846,1.2271337458842986,1.409451419671763
M2_density_agency,C(region)[T.West],0.4142894238269181,0.03594832680818595,11.524581548328932,9.91929477441448e-31,0.3438319979783979,0.48474684967543824,1.5132950471528608,1.4103416753507345,1.6237639004519022
M2_density_agency,is_nm,0.10520077173576659,0.08399348830037608,1.2524872328143986,0.210392377617045,-0.05942344026885693,0.2698249837403901,1.1109336320403569,0.9423076736518319,1.309735205716246
M2_density_agency,year_centered,0.006957654030074862,0.004102405346023855,1.6959937995445473,0.08988705431151597,-0.0010829126981164727,0.014998220758266196,1.0069819147381087,0.9989176734402414,1.0151112584857966
M2_density_agency,log_density_z,-0.05936806171598807,0.024890431597082638,-2.3851760659283423,0.017070949099768914,-0.1081524112059278,-0.010583712226048321,0.9423598587321097,0.8974907983510337,0.9894720981888704
M2_density_agency,unique_agencies_per_1m_z,0.34508648302924316,0.01843530771411296,18.71878074294717,3.4802650444821593e-78,0.3089539438656683,0.381219022192818,1.4121120381136831,1.361999640620477,1.4640682337310746
M2_density_agency,sheriff_agency_share_z,0.04167054300352737,0.036913341836720105,1.1288748438938403,0.25895063417459685,-0.030678277545459647,0.11401936355251438,1.0425509464608216,0.9697875253153422,1.1207738268368916
M2_density_agency,local_police_agency_share_z,0.10975833371875394,0.042302238805704384,2.5946223371977473,0.009469490673676155,0.026847469194160686,0.19266919824334722,1.1160083362828874,1.027211109475221,1.2124816361158546
M2_density_agency,alpha,0.011479697147686645,0.0035747363387111067,3.211340938175519,0.0013211708758262648,0.0044733426695862995,0.018486051625786988,1.0115458417352818,1.0044833630027958,1.0186579764478305
M3_density_incident_profile,Intercept,-12.856827138702812,0.03302167579186208,-389.34508411203257,0.0,-12.92154843396402,-12.792105843441604,2.60826022669579e-06,2.4447970760458608e-06,2.7826527922579862e-06
M3_density_incident_profile,C(region)[T.Northeast],-0.38652871035907216,0.0633247569625058,-6.103911470010591,1.0350363100343752e-09,-0.5106429533353356,-0.26241446738280877,0.6794112189545658,0.6001096122695485,0.7691921525729443
M3_density_incident_profile,C(region)[T.South],0.4129430231278234,0.042363829098887695,9.747537744142813,1.8899658610617444e-22,0.32991144384679355,0.4959746024088532,1.5112589166747779,1.3908449551310496,1.6420978519592262
M3_density_incident_profile,C(region)[T.West],0.4948141995203624,0.04624896272653105,10.698925345551775,1.0296540791485493e-26,0.40416789825402616,0.5854605007866986,1.64019346201212,1.4980554467383027,1.7958177707538912
M3_density_incident_profile,is_nm,0.5258147937913153,0.10266178596904708,5.121816154161301,3.0260685281305035e-07,0.32460139070342364,0.7270281968792071,1.6918367850441114,1.3834790684377885,2.068923030733302
M3_density_incident_profile,year_centered,0.021547802844977277,0.00607510753822343,3.54690064486967,0.00038979156243894867,0.009640810867851565,0.03345479482210299,1.0217816332389722,1.0096874331901629,1.034020699580074
M3_density_incident_profile,log_density_z,-0.29173680493000537,0.025058065924074446,-11.64243105648949,2.507643853751125e-31,-0.34084971166342165,-0.24262389819658906,0.7469651076376641,0.7111657800975315,0.7845665351778136
M3_density_incident_profile,gun_share_z,0.02737660427405064,0.021658186810673923,1.2640302954889315,0.20621915332450103,-0.015072661845310666,0.06982587039341194,1.027754786734367,0.9850403621521998,1.072321442085433
M3_density_incident_profile,mental_illness_share_z,-0.010538784316840718,0.02250608475826578,-0.46826377977494077,0.639595966863931,-0.05464989987604749,0.03357233124236606,0.9895165541001093,0.9468165705332595,1.0341422418142603
M3_density_incident_profile,bodycam_share_z,-0.036278096684076624,0.021398566831067504,-1.6953517013768549,0.09000872241112118,-0.07821851699374233,0.005662323625589077,0.9643720675142836,0.9247623281795,1.005678384880374
M3_density_incident_profile,alpha,0.047038735952200886,0.006988424450700613,6.730950056630446,1.685588216432535e-11,0.033341675720148574,0.0607357961842532,1.04816260987005,1.0339037387025147,1.0626181293321622
M4_density_agency_profile,Intercept,-12.766669215026557,0.02736045746609304,-466.61022502448617,0.0,-12.82029472626064,-12.713043703792474,2.8543419978516354e-06,2.70530816954395e-06,3.011586011686461e-06
M4_density_agency_profile,C(region)[T.Northeast],-0.43556834960308,0.05485803915565831,-7.939918311100507,2.0231445276799044e-15,-0.5430881306106583,-0.32804856859550163,0.6468968989817386,0.580951425503517,0.7203280335348043
M4_density_agency_profile,C(region)[T.South],0.26200558990907014,0.03567611068948185,7.344006531135567,2.0729300173967564e-13,0.19208169784922127,0.331929481968919,1.2995338066848914,1.2117695118838823,1.3936545672711667
M4_density_agency_profile,C(region)[T.West],0.4243225314339232,0.03676064252964795,11.542848607493774,8.022370389931912e-31,0.3522729960272618,0.49637206684058455,1.5285545211690383,1.4222967520866723,1.6427506571736352
M4_density_agency_profile,is_nm,0.09202907956387141,0.08406709048708064,1.0947099397714302,0.27364373258667685,-0.07273939007587643,0.25679754920361925,1.096396704355246,0.9298431247984108,1.2927833752404807
M4_density_agency_profile,year_centered,0.00798538661109074,0.004815372828192626,1.6583111829552621,0.09725467298913647,-0.0014525707042995877,0.017423343926481066,1.0080173548470077,0.9985484837658999,1.0175760157790923
M4_density_agency_profile,log_density_z,-0.04927171578668875,0.025026987560227698,-1.9687433682585995,0.04898256845458802,-0.098323710046267,-0.00021972152711050713,0.9519224422001088,0.9063554598932642,0.9997803026098964
M4_density_agency_profile,unique_agencies_per_1m_z,0.3401374256697382,0.01839601840832145,18.489730664537543,2.4979895123109735e-76,0.3040818921304923,0.3761929592089841,1.4051406796945718,1.355380046504624,1.4567281957738245
M4_density_agency_profile,sheriff_agency_share_z,-0.04655344068751877,0.016510326656825124,-2.81965594352879,0.004807516508427111,-0.07891308630788761,-0.014193795067149934,0.954513549346622,0.9241202396567748,0.9859064619390591
